id,name,activity_type,distance,average_grade,maximum_grade,elevation_high,elevation_low,total_elevation_gain,kom,qom,climb_score,is_flat,custom_climb_category,country,region
26233692,Prepih-Vahta,Ride,7635.0,4.3,9.4,628.8,298.8,334.0,15:57,20:08,14.362,False,4.0,Slovenia,Novo Mesto
2174057,Sela Pri Jugorju 4 Climb,Ride,2661.62,6.5,14.9,496.6,324.8,171.8,6:46,9:03,11.167,False,4.0,Slovenia,"Semic, Novo Mesto"
11726186,Jugorje pri Metliki,Ride,2124.9,4.7,8.5,619.2,519.4,99.8,4:03,6:06,4.6906,False,3.0,Slovenia,Novo Mesto
22889686,suhorski breg,Ride,508.8,8.4,20.7,384.1,341.3,42.8,1:11,5:20,3.5952,False,3.0,Slovenia,Metlika
15210081,spust ob meji,Ride,1788.2,-10.8,23.2,1164.6,971.4,12.5,2:34,3:47,-1.35,False,1.0,Slovenia,"Šentjernej, Novo Mesto"
7582762,Pliješ - Vodice *,Ride,710.4,-18.7,15.9,958.0,824.6,12.8,1:56,7:08,-2.3936,False,1.0,Croatia,Šentjernej
3247055,Salita di Jamiano,Ride,1660.86,1.6,20.0,68.2,39.4,41.3484,2:11,2:51,0.6615744,False,2.0,Italy,Miren-Kostanjevica
17112128,Šprint na Cerje,Ride,313.2,6.0,20.6,343.4,321.8,21.6,36s,57s,1.296,False,2.0,Slovenia,Miren-Kostanjevica
5834430,Branik vzpon,Ride,3996.2,5.8,34.4,309.9,76.5,303.2,9:04,11:26,17.5856,False,5.0,Slovenia,Nova Goriška
3203209,Salita Rupingrande Lanaro,Ride,3140.58,4.5,18.6,527.1,387.2,199.063,11:35,15:59,8.957835,False,4.0,Italy,Sežana
11674819,Strappetto Zagrajec,Ride,544.4,6.7,10.7,308.0,271.4,36.6,51s,1:24,2.4522,False,2.0,Slovenia,Komen
7863967,Stjak Full,Ride,4837.7,6.1,22.2,485.0,182.4,306.0,12:23,16:57,18.666,False,5.0,Slovenia,"Komen, Sežana"
2357099,trebižani - manče,Ride,1669.03,3.7,21.4,237.0,175.1,81.8882,2:44,3:06,3.0298634,False,3.0,Slovenia,Vipava
3916358,Preserje,Ride,1259.8,5.7,11.5,142.6,71.0,71.6,2:29,3:31,4.0812,False,3.0,Slovenia,Nova Goriška
7029692,stanjel,Ride,4853.6,4.5,12.9,319.4,99.6,224.2,9:46,12:36,10.089,False,4.0,Slovenia,"Nova Goriška, Komen"
723575,Vrtovče Climb,Ride,3286.49,6.3,22.5,290.2,82.2,208.0,7:31,9:59,13.104,False,4.0,Slovenia,Ajdovščina
24924347,Branica time trial,Ride,4565.5,1.1,17.9,166.0,116.0,74.0,5:57,7:43,0.814,True,0.0,Slovenia,"Komen, Ajdovščina"
9780285,Kobjeglava Drag,Ride,811.4,5.4,9.3,308.7,264.7,44.0,1:25,2:09,2.376,False,2.0,Slovenia,Komen
1470228,Nanos,Ride,8347.73,6.8,31.5,770.4,197.5,687.752,22:18,28:35,46.767136,False,5.0,Slovenia,Vipava
3843608,Manče puklc,Ride,1943.54,4.5,10.1,146.2,58.6,87.6,3:25,5:06,3.942,False,3.0,Slovenia,Vipava
5488429,Vipava - Nanos,Ride,10460.0,6.9,25.8,863.6,136.8,815.5,29:22,36:28,56.2695,False,5.0,Slovenia,Vipava
12182406,Last kilometer,Ride,931.3,6.1,7.0,781.2,724.7,56.5,1:59,2:43,3.4465,False,3.0,Slovenia,Vipava
22216782,Mance dh,Ride,2036.1,-4.6,-1.0,248.0,154.6,0.0,2:20,2:35,0.0,False,1.0,Slovenia,Vipava
22873713,Sprint pod Zemonom,Ride,531.8,-0.8,0.0,15.0,10.6,0.0,24s,27s,0.0,True,0.0,Slovenia,Vipava
14839616,Stjak-Vrabce,Ride,5509.0,0.0,18.2,581.4,493.0,116.0,8:56,11:46,0.0,True,0.0,Slovenia,Sežana
16098783,kazlje_storje,Ride,2702.0,0.6,3.3,365.3,344.2,21.1,3:02,4:17,0.1266,True,0.0,Slovenia,Sežana
18767749,Dolenje - Slap,Ride,4127.1,0.5,39.2,114.0,87.0,61.2,6:25,9:07,0.306,True,0.0,Slovenia,"Ajdovščina, Vipava"
21380660,Razdrto - Nanos spust,Ride,7225.5,-5.3,1.3,599.6,216.0,0.0,6:28,7:22,0.0,False,1.0,Slovenia,"Postojna, Vipava"
8412365,Korito Koča,Ride,4470.9,6.7,49.7,786.6,484.9,400.8,12:05,14:38,26.8536,False,5.0,Slovenia,Vipava
14841199,Nanos spust,Ride,8346.6,-7.1,9.8,808.0,213.6,3.4,8:47,10:25,-0.2414,False,1.0,Slovenia,Vipava
18936200,suffer,Ride,349.7,8.5,14.4,885.9,856.1,0.0,42s,1:08,0.0,False,1.0,Slovenia,Ajdovščina
13172360,Nanos strm del,Ride,3532.7,9.7,32.0,711.1,368.3,372.5,12:26,15:50,36.1325,False,5.0,Slovenia,Vipava
10655040,Enduro Grčarevec 1,Ride,1526.9,-16.4,0.0,588.0,337.0,0.0,3:36,4:41,0.0,False,1.0,Slovenia,"Logatec, Postojna"
13514090,dolga,Ride,3509.6,-10.8,21.8,902.3,518.0,23.2,7:36,12:55,-2.5056,False,1.0,Slovenia,"Logatec, Postojna"
20033470,Predjamska,Ride,4931.9,1.0,15.1,604.4,538.4,93.4,8:27,9:02,0.934,True,0.0,Slovenia,Postojna
23346482,Bukovje main road climb,Ride,608.0,5.2,10.1,588.0,556.1,31.9,45s,1:10,1.6588,False,2.0,Slovenia,Postojna
21344254,Do Lohače1,Ride,2845.2,2.7,28.8,650.6,572.6,86.0,5:44,7:58,2.322,False,2.0,Slovenia,Postojna
18824764,Planina-vrh,Ride,3270.1,3.7,10.4,608.2,487.0,121.2,5:27,7:44,4.4844,False,3.0,Slovenia,Postojna
26523445,Patient Zero,Ride,885.5,-17.5,8.8,769.0,614.0,0.0,2:31,5:52,0.0,False,1.0,Slovenia,Postojna
10716705,Kalič climb,Ride,3082.3,5.6,23.5,809.8,632.6,196.7,6:38,9:45,11.0152,False,4.0,Slovenia,"Cerknica, Postojna"
7751353,Ravnica Laze - Planina ,Ride,1867.7,0.2,2.9,450.9,444.5,7.5,2:12,2:20,0.015,True,0.0,,"Logatec, Postojna"
7712832,Unški vzpon,Ride,838.0,5.6,17.1,574.8,525.0,49.8,1:42,2:47,2.7888,False,2.0,Slovenia,Cerknica
15736984,Mimo Palete,Ride,445.9,1.4,6.1,534.8,528.6,6.2,26s,28s,0.0868,True,0.0,Slovenia,Postojna
22372052,Slivnica - vrh,Ride,2164.7,6.5,21.1,1077.6,937.0,143.8,6:09,8:54,9.347,False,4.0,Slovenia,Cerknica
12499859,Slivnica makedam,Ride,7050.8,6.5,38.8,1092.7,624.9,640.5,22:09,26:29,41.6325,False,5.0,Slovenia,Cerknica
2460382,Rakek Climb,Ride,1632.06,3.3,10.4,574.6,520.3,0.0,2:56,3:57,0.0,False,1.0,Slovenia,Cerknica
26532837,Slivnica Flow,Ride,2029.5,-8.1,18.2,1033.2,860.8,8.4,4:37,7:18,-0.6804,False,1.0,Slovenia,Cerknica
16158733,odcep Topol- Dolenje Otave climb,Ride,3409.4,4.5,21.1,808.0,653.0,166.0,7:44,9:48,7.47,False,4.0,,Cerknica
23043736,Slivnica-freeride,Ride,1327.2,-16.8,8.3,846.9,623.3,3.8,2:38,5:01,-0.6384,False,1.0,Slovenia,Cerknica
11841885,Pikovnik (Beč),Ride,1097.4,7.0,29.9,855.0,778.4,76.6,2:19,3:17,5.362,False,3.0,Slovenia,Cerknica
21746656,radlek slivnica,Ride,5814.0,5.5,27.7,1094.5,776.0,323.1,18:00,30:55,17.7705,False,5.0,Slovenia,Cerknica
12094106,Velike Bloke - Nova vas ravnina,Ride,1962.6,-0.5,2.3,725.5,715.8,2.2,2:09,2:24,-0.011,True,0.0,Slovenia,Bloke
18944694,intANT Sv. Vid,Ride,3633.3,5.6,13.3,728.0,523.0,205.0,8:23,12:17,11.48,False,4.0,Slovenia,Cerknica
7537390,jeršanovo - sveta trojica,Ride,1643.5,7.2,14.0,737.2,618.8,118.4,,6:10,8.5248,False,4.0,Slovenia,Bloke
9317352,Nemška vas na Blokah,Ride,759.6,3.4,13.0,750.6,724.4,26.2,1:05,1:28,0.8908,False,2.0,Slovenia,Bloke
5425556,Rob-selo pri Robu climb,Ride,3948.7,7.2,23.2,802.6,520.0,282.6,11:00,16:05,20.3472,False,5.0,Slovenia,Velike Lašče
20787610,Lužarjev Breg do križišča,Ride,3391.0,6.6,13.3,770.8,546.0,224.8,9:11,12:03,14.8368,False,4.0,Slovenia,Velike Lašče
10128282,Osredek,Ride,2414.5,7.8,35.7,703.0,513.9,209.0,6:19,9:13,16.302,False,5.0,Slovenia,Velike Lašče
16882251,Črnec stena,Ride,814.6,12.7,17.9,663.2,559.5,103.7,3:19,5:04,13.1699,False,4.0,Slovenia,"Sodražica, Ribnica"
17407485,steep part javorje,Ride,1750.3,8.9,33.9,551.3,395.8,173.5,6:12,8:12,15.4415,False,5.0,Slovenia,Velike Lašče
22518897,"Mramorovo - Ravnik - 1,7km",Ride,1704.5,4.2,22.4,738.0,667.0,71.0,2:59,4:47,2.982,False,3.0,Slovenia,Bloke
8168269,Sodražica-Sv.Gregor,Ride,3201.9,5.8,24.2,724.1,537.8,221.4,8:25,10:57,12.8412,False,4.0,Slovenia,"Sodražica, Ribnica"
7268593,Sv Gregor ,Ride,3221.3,4.0,11.3,731.3,599.9,154.5,6:46,9:20,6.18,False,3.0,Slovenia,"Velike Lašče, Ribnica"
2056799,Veliki Osolnik 29 A Climb,Ride,2404.61,7.3,11.9,667.5,490.3,180.487,6:52,10:02,13.175551,False,4.0,Slovenia,Velike Lašče
21887798,Zdenska Vas climb,Ride,447.4,5.9,15.5,461.0,434.4,26.6,42s,1:11,1.5694,False,2.0,Slovenia,Dobrepolje
14668724,Andol,Ride,427.3,8.8,13.3,732.5,695.0,37.5,55s,1:20,3.3,False,3.0,Slovenia,Ribnica
9296487,Grmada (Ortnek),Ride,3907.9,7.4,32.3,832.9,543.5,306.6,12:17,17:34,22.6884,False,5.0,Slovenia,"Dobrepolje, Ribnica"
12730899,Mali Korinj Climb,Ride,2660.8,6.7,19.8,590.8,411.8,195.3,7:29,11:04,13.0851,False,4.0,Slovenia,Ivancna Gorica
24258038,Mali Korinj steep part,Ride,1069.3,10.1,21.9,596.5,488.2,108.3,,,10.9383,False,4.0,Slovenia,Ivancna Gorica
18727671,Ambrus - Zvirče (do makedama),Ride,3667.5,2.7,12.5,463.0,358.6,112.0,,8:39,3.024,False,3.0,Slovenia,"Ivancna Gorica, Žužemberk"
